Update: 2017-02-12

### Player ships
ID	Name	Graphic Name	Missing?	Comment
164	弥生	jnvcrrgmtvwl		
165	卯月	gjtvekieqatn		
166	あきつ丸改	vxryfhvytcig		
167	磯風	bctrxdxrugqp		
168	浦風	cmupwurocdpn		
169	谷風	gsrzkautnghc		
170	浜風	rubtymuqfeuq		
171	Bismarck	ntmjjittqkcj		
172	Bismarck改	frkfpymtydmg		
173	Bismarck zwei	etxdlqnvwqtx		
174	Z1	pvhdtbuddjhb		
175	Z3	rxzrrkjqvyqy		
176	Prinz Eugen	shcsmfegtxhf		
177	Prinz Eugen改	cmmiahpwdamx		
178	Bismarck drei	twvnkvqgyiru		
179	Z1 zwei	qgkjswznylty		
180	Z3 zwei	utmejyqmcvbk		
181	天津風	fdpybckruodj		
182	明石	kynputhclcdl		
183	大淀	uockopeurqdf		
184	大鯨	xumujwygrmby		
185	龍鳳	bfsrsnqivpms		
186	時津風	dljghewzktat		
187	明石改	scobmrrdbmsw		
188	利根改二	rjggwwmmppth		
189	筑摩改二	ilnimhfcivpt		
190	初風	rwqqgmxpdwbu		
191	伊19	jdsszkolhitg		
192	那智改二	bpegnatlfibc		
193	足柄改二	bxbyaifmqdxk		
194	羽黒改二	ecwgnneuzbcv		
195	綾波改二	tiqezicxwpry		
196	飛龍改二	gbxvfsrqbyxg		
197	蒼龍改二	mwlzgwdjlpxx		
199	大潮改二	jqqkmitxodgw		
200	阿武隈改二	qjkjyqhsvcpx		
201	吹雪改	dufziinsornt		
202	白雪改	kkpwecgmftci		
203	初雪改	sejqtlkfjwkc		
204	深雪改	zlshfpystoqp		
205	叢雲改	rmcvsljwdyur		
206	磯波改	olkahitypycq		
207	綾波改	sgpilzypnejy		
208	敷波改	epjlpvhwcjvw		
209	金剛改	fxypdctjnicq		
210	比叡改	iatmdvvwlngq		
211	榛名改	nolhhoujolpc		
212	霧島改	kexwyrcqjxfs		
213	天龍改	wjcrloeyiyxw		
214	龍田改	chmytqkkilrv		
215	球磨改	mbgjkzlvemui		
216	多摩改	cxhxktltjtbg		
217	木曾改	gjyqwffsmfgw		
218	長良改	jmpkkzqwgxtc		
219	五十鈴改	espxbipsjiyt		
220	由良改	xtqbjysffsvx		
221	名取改	aqgjvutybsbk		
222	川内改	zhixojcwijfj		
223	神通改	ncijtxixkghu		
224	那珂改	vxkcklmfevkk		
225	陽炎改	ffyychaekjsj		
226	不知火改	algyyokhbnwz		
227	黒潮改	qsnkljxqtrgb		
228	雪風改	avfbkpphumso		
229	島風改	cjhtlviffiwb		
230	朧改	sbdfpooechyn		
231	曙改	wnocckxgfmnh		
232	漣改	xfxhmadcxfdq		
233	潮改	dpqjexkcixhw		
234	暁改	slzosqvxjxus		
235	響改	wpaqzeclspdr		
236	雷改	eathbqlrqvda		
237	電改	bqvrrfdcuvdr		
238	初春改	tedevipdbvdr		
239	子日改	nkrmsykdohgo		
240	若葉改	tkcwrodgemlj		
241	初霜改	woutqrqtdzqi		
242	白露改	xcbmsjqrostq		
243	時雨改	wmskekfmgdio		
244	村雨改	wvnchfzhekfo		
245	夕立改	wpsyznjwvlmd		
246	五月雨改	ofneitwqroxe		
247	涼風改	jukighzxmudn		
248	朝潮改	xbbfxeemifpv		
249	大潮改	ngcxxfxovpmn		
250	満潮改	eypcwtnjgoyb		
251	荒潮改	pmjnkqodgjpo		
252	霰改	oxttbkywusfp		
253	霞改	ohpnwjgzfesg		
254	睦月改	pvomxydmldoi		
255	如月改	lwlmcwxyvcyz		
256	皐月改	ttcofyyswaum		
257	文月改	ysgtnamukxoi		
258	長月改	wrxtfahvtyqi		
259	菊月改	zrrxemjrtmql		
260	三日月改	sxrrihbkdkjl		
261	望月改	aufduiatycow		
262	古鷹改	iolnrzaovbhn		
263	加古改	qsmurjkprhku		
264	青葉改	udkkmzgsimgq		
265	妙高改	fcydxtnwtaon		
266	那智改	nvftqenyroyu		
267	足柄改	bekjyovmrmfd		
268	羽黒改	uilfcyypnbwm		
269	高雄改	ghgphbvmzjrx		
270	愛宕改	gbkqnzirjyid		
271	摩耶改	ajhdojqfykfu		
272	鳥海改	nsgytjsjbfdp		
273	利根改	fkatobgcyygb		
274	筑摩改	paqnehcojygu		
275	長門改	szgthkexanxl		
276	陸奥改	hujriolkmhzy		
277	赤城改	gtmwrbaniaud		
278	加賀改	uuqdlbtrkmvk		
279	蒼龍改	mxohelwcpocv		
280	飛龍改	kftqxfempust		
281	龍驤改	wvcpwlwuxwhq		
282	祥鳳改	numjsnomjspr		
283	飛鷹改	yiwwnppitqpf		
284	隼鷹改	pwokyefpmqwi		
285	鳳翔改	xjotoxrgwfrj		
286	扶桑改	mnkjkgammeds		
287	山城改	bnbdxfioqxtt		
288	翔鶴改	vcftaofxkvgk		
289	鬼怒改	ikwmknqjpvkg		
290	阿武隈改	uuxoixtoemiv		
291	千歳航改	ufcqfujavyyg		
292	千代田航改	hgitzuyaysvw		
293	夕張改	hfhcjjdyqyzn		
294	舞風改	ssvrjquubpim		
295	衣笠改	qgkmjgfbanxl		
296	千歳航改二	kavryopoywwx		
297	千代田航改二	jhefpwucyxiq		
300	初風改	ukwcjqlolezy		
301	秋雲改	ijhrnvnbqkmj		
302	夕雲改	bbgkikxppksy		
303	巻雲改	gekgxdsvrliq		
304	長波改	lovstgcfspwr		
305	阿賀野改	cmpqwemjahur		
306	能代改	hvnqlrdovfqe		
307	矢矧改	acajrnrqxplq		
308	弥生改	ozjrctjajnpx		
309	卯月改	xwjlobdutrwv		
310	Z1改	vbuxfozqoemo		
311	Z3改	vksfcnchqurh		
312	浜風改	ojkgkujsenly		
313	谷風改	jdyqtxzmsyng		
314	酒匂改	kbdewgsfrkra		
315		igezlfrivcar		
316	天津風改	cpcycglgelxd		
317	浦風改	exedxncqauws		
318	龍鳳改	rjtnzguullvo		
319	妙高改二	kadfixosusrf		
320	磯風改	dyupugfxshtd		
321	大淀改	gixbrtnuabge		
322	時津風改	svglgiwjfyxn		
323	春雨改	cispmgxqaedk		
324	早霜改	uvfgjekdjlcw		
325	清霜改	xomrbwrvjwfv		
326	初春改二	xoiprnaxqxbj		
327	朝雲改	vdieczinfgce		
328	山雲改	pyfdxrfqwldn		
329	野分改	qegrehgswrpg		
330	秋月改	tubwmcjwtlqx		
331	天城	gmlbignzjwmq		
332	葛城	fgyvwqymkekn		
333		fwywlrdttcoc	*404	
334	U-511改	dfrmfmjvschh		
335		fuzvvipztlod	*404	
336		nyveugfueqrn	*404	
337		ospkpclnhxkj	*404	
338		yotuoourymyr	*404	
339		utbekttrwkug	*404	
340		tmodouudtfbl	*404	
341		zzjoppqteksh	*404	
342		rybmohpldpuq	*404	
343	香取改	kexcbmpnmmwv		
344	朝霜改	jozbiyweyksl		
345	高波改	ydsbnsiogwij		
346	照月改	urpnkwaneqfb		
347	Libeccio改	rgfuelwdntub		
348	瑞穂改	ycgllqsxwdgy		
349	風雲改	gykqxdkfpzih		
350	海風改	djszrxlnhbuv		
351	江風改	litugbpkilsf		
352	速吸改	niuenzxpukjq		
353	Graf Zeppelin改	uljlkucfqqcc		
354	嵐改	stvkbeqhwmmj		
355	萩風改	vbqucvbohcex		
356	鹿島改	grgeljjshnfk		
357	初月改	wwuwxxrkzxex		
358	Zara改	waviopoxryme		
359	沖波改	higuuqsbfkvb		
360	Iowa改	nwntjkczdexl		
361	Pola改	btfmqyxunhkj		
362	親潮改	fkrtllluordb		
363	春風改	ihdaromldkrr		
364	Warspite改	bwsoozmjkbde		
365	Aquila改	ywgeborrihwb		
366	水無月改	mnqveismubcz		
367	伊26改	whdxgwhsflxf		
368	浦波改	uvihthcdkhof		
369	山風改	qfyztscquxza	*404	
370	朝風改	sfhznwdwstgj	*404	
371	松風改	bzigjflbyxbe	*404	
372	Commandant Teste改	wgyatqtsrghn	*404	
373	藤波改	kbnitqplofhm	*404	
374	伊13改	hmjwmfpdcuur	*404	
375	伊14改	fhcabilueqsn	*404	
398	伊168改	dyfnguymthbd		
399	伊58改	hosmgvuzyjlw		
400	伊8改	fggcskrfkpnr		
401	伊19改	jwrlielrnfpr		
402	まるゆ改	nrdgjqcgecmg		
403	伊401改	tuvoqtqrddem		
404	雲龍	xgoisifuerjd		
405	春雨	dbtrdgatxdpl		
406	雲龍改	rqsbaiaqlunp		
407	潮改二	fsgwccpesgfh		
408	隼鷹改二	yyyfqcpumpxj		
409	早霜	kgwxvcnblfjb		
410	清霜	gdbwncyaopob		
411	扶桑改二	gmnsxwkdssmj		
412	山城改二	xjsgvmgfleuu		
413	朝雲	xjtxwkwwfdze		
414	山雲	xthvimkarzgq		
415	野分	skmmrmdljugc		
416	古鷹改二	vqdgxtrgintc		
417	加古改二	riiwaegupstv		
418	皐月改二	uhbkffblgplp		
419	初霜改二	ufgydlyjdaxb		
420	叢雲改二	ugxgvgtjsxud		
421	秋月	wkvdcpaogfii		
422	照月	fvcfdjvmxlko		
423	初月	uscckqoguchc		
424	高波	hvxoppojkyge		
425	朝霜	cdsgjcufyxlz		
426	吹雪改二	rtkekdbkqrkg		
427	鳥海改二	jcrdsdpsjcgj		
428	摩耶改二	xljtrrmemnon		
429	天城改	zgscfjpbxnir		
430	葛城改	bohmlbbvqtfs		
431	U-511	ksvosfducgbe		
432	Graf Zeppelin	tepoqqczfonx		
433	Saratoga	qtuuhjmqmvfh	*404	
434	睦月改二	idhoawqrgkqh		
435	如月改二	ygqdfllpkbee		
436	呂500	wnibjvejengh		
437	暁改二	gzerqivthcrd		
438	Saratoga改	wmebertagnxm	*404	
439	Warspite	lnltescodihe		
440	Iowa	tgknyzwyexxt		
441	Littorio	hkhkiqkleprp		
442	Roma	gyywcqqfnjkc		
443	Libeccio	nsutzbtifaji		
444	Aquila	beymvxmvhoct		
445	秋津洲	oswtwcbzgbfm		
446	Italia	feyfhhruhjse		
447	Roma改	yfpnftpuwkrx		
448	Zara	spmuptretooz		
449	Pola	zbwwxnwyxhps		
450	秋津洲改	wwqmolrsxfvz		
451	瑞穂	zqwwomufsbpq		
452	沖波	xxnlcxflgfji		
453	風雲	xooelfidumnp		
454	嵐	nguivbnbevwd		
455	萩風	xxbsgzxwjqxh		
456	親潮	dvcslbfkmdsy		
457	山風	tvieoobotato	*404	
458	海風	rnmsjjndxlgj		
459	江風	jdpiljspxgpz		
460	速吸	ajggcaaaocgh		
461	翔鶴改二	hpxsthymxmki		
462	瑞鶴改二	giytrybpknos		
463	朝潮改二	grmdtyheocuc		
464	霞改二	mqlroxfnufpz		
465	鹿島	nwiyrjfnqvux		
466	翔鶴改二甲	ekuxnovhattm		
467	瑞鶴改二甲	qgrxbhuvtrbf		
468	朝潮改二丁	schftfqkstxa		
469	江風改二	rwrhhyeloenn		
470	霞改二乙	vxrvwfxhlbag		
471	神風	xqqqhgvzjuae		
472	朝風	fmsaumjkejlm	*404	
473	春風	gfogtnmgovlq		
474	松風	uesladlyqrru	*404	
475		sbvnvwfihmrd	*404	
476	神風改	osxrcrtldvru		
477		aoprntdhsoqa	*404	
478		usewjvwytald	*404	
479		xvgcgmwruygk	*404	
480		tbgbgvlvagls	*404	
481	水無月	xzuthqfclfmp		
482		zknpscxchueo	*404	
483	伊26	qrubiqfijtfp		
484		zvjbcleziwsc	*404	
485	藤波	hskuxickjvmq	*404	
486	浦波	qhphdxqmvzbq		
487	鬼怒改二	glyidgppuqgp		
488		rwectccrwkub	*404	
489		nhulrhmihxop	*404	
490	荒潮改二	hrkuspdmjtmd	
491	Commandant Teste	ighfxhygboim	*404	
492		mbuqrrnwsofd	*404	
493		lksmyghdkbsg	*404	
494	伊13	sfficpxrcodd	*404	
495	伊14	umpejcgdjwrp	*404	

### Enemy ships
ID	Name	Graphic Name	Missing?	Comment
501	駆逐イ級	mtjmdcwtvhdr		
502	駆逐ロ級	pbgkfylkbjuy		
503	駆逐ハ級	pcumlrymlujh		
504	駆逐ニ級	itbrdpdbkynm		
505	軽巡ホ級	itslcqtmrxtf		
506	軽巡ヘ級	wuhnhojjxmke		
507	軽巡ト級	xlqcmisdyfiu		
508	雷巡チ級	mcouotbbbzpx		
509	重巡リ級	iwztvmesrrju		
510	軽母ヌ級	slxvncxmexin		
511	戦艦ル級	pijdvoaebmxm		
512	空母ヲ級	yalxvbxgbojg		
513	輸送ワ級	mednanfcfkil		
514	駆逐イ級	eusutfvohllh		
515	駆逐ロ級	tizkiyetefqx		
516	駆逐ハ級	ycjcuuqbxywj		
517	駆逐ニ級	zujcpyhiwhfk		
518	軽巡ホ級	nylazbctwxxb		
519	軽巡ヘ級	thxxajqkbcea		
520	軽巡ト級	vxeposgfnulm		
521	雷巡チ級	kkdcshdnoqvd		
522	重巡リ級	jgdkktwkyoep		
523	軽母ヌ級	glsvfugrtdlv		
524	戦艦ル級	jnaynrbswxny		
525	空母ヲ級	lreivfnxjfik		
526	輸送ワ級	nfbfnyqdswvz		
527	重巡リ級	cdgslqaonpst		
528	空母ヲ級	kcjagtsviiyn		
529	戦艦ル級	crlyrpscrtad		
530	潜水カ級	zsrtdiesnmum		
531	潜水ヨ級	jyofolfguclj		
532	潜水カ級	ebutrlbzkktc		
533	潜水ヨ級	ppdicscudnmo		
534	潜水カ級	duwuexijckgq		
535	潜水ヨ級	nvaipajbkgjn		
536	浮遊要塞	cchowgdxysfu		
537	浮遊要塞	matbibgdovof		
538	浮遊要塞	murfwykjiuog		
539	泊地棲鬼	cyfiwlhsgdji		
540	泊地棲姫	vewvgeiqybub		
541	戦艦タ級	mqzxufdjdjju		
542	戦艦タ級	whhduavjmdki		
543	戦艦タ級	zpzqybyepyte		
544	装甲空母鬼	jndnkhfjvnjo		
545	装甲空母姫	pnvdeewbfyfh		
546	南方棲鬼	jcgarujexcrf		
547	南方棲戦鬼	jmlbqlrnajyq		
548	南方棲戦姫	vooogzpoblwf		
549	護衛要塞	bwlykdyyjurx		
550	護衛要塞	fhjnljxxjpmk		
551	護衛要塞	nmwnyjyfezro		
552	駆逐ロ級	szdhvxpyljqe		
553	駆逐ハ級	jhjcroxdngqe		
554	軽巡ホ級	afrplxszsxit		
555	軽巡ヘ級	eswghzpycwxb		
556	飛行場姫	qtygozpoceew		
557	戦艦棲姫	glghkfswtxet		
558	輸送ワ級	okkjcahxfltg		
559	雷巡チ級	cojscoppbivn		
560	軽母ヌ級	pcmfcidohwga		
561	戦艦レ級	tkcshwnsnsqr		
562	戦艦レ級	yrdhekgqgxtg		
563		lrjshshjmuym	*404	
564	駆逐イ級	skifghbnovxl		
565	空母ヲ級改	ckbtgxrnjvof		
566	重巡リ級改	lfpzrcpfngkf		
567	戦艦ル級改	qyfevgdqedyw		
568		nklodnkbtplk	*404	
569		tyrymrwgeovs	*404	
570	潜水ソ級	qfwkvipzxqey		
571	潜水ソ級	gnnicfxddgut		
572	潜水ソ級	obxvexpgyajg		
573	港湾棲姫	mvqfkxbebqob		
574	離島棲鬼	ihfrerqprpro		
575	駆逐イ級後期型	dsdrpxrroksm		
576	駆逐ロ級後期型	wnftypfgkdkr		
577	駆逐ハ級後期型	icwosohxkvbd		
578	駆逐ニ級後期型	ohcikvnwgsuh		
579	空母ヲ級	lhdxfbtoyfer		
580		qixlkacosirp	*404	
581	北方棲姫	lwrljvbgvkxe		
582	北方棲姫	rgjwnwdygctr		
583	中間棲姫	naucyhpcdjwf		
584	中間棲姫	fcaeosgyrckf		
585	空母棲鬼	kvllndxefqyr		
586	空母棲姫	eoaivzseqtwo		
587	北方棲姫	bcvjduazbvue		
588	北方棲姫	jtokvqdkiidv		
589	北方棲姫	yqxjpfvbrghk		
590	北方棲姫	xsjvtttdqhwy		
591	軽巡ツ級	vwaghxaewzdw		
592	軽巡ツ級	ypbbvxgczbph		
593		bickiyziobgh	*404	
594	重巡ネ級	yowvcxyrqiqe		
595	重巡ネ級	aaklgdwughjy		
596		gbccmymngqwj	*404	
597	駆逐棲姫	xdcuopswoflo		
598	駆逐棲姫	ogjyulhxjvhr		
599	空母水鬼	zkkzcjehulfi		
600	空母水鬼	ptotvjxlwqgh		
601	軽巡棲鬼	dpmgoqtslers		
602	軽巡棲鬼	jzweeqxgragj		
603	戦艦水鬼	iepccppipopa		
604	戦艦水鬼	srqsizwuyvfm		
605	港湾水鬼	jnwpsrxekmbn		
606	港湾水鬼	clqoqbjfvidf		
607	港湾水鬼	ysteufhuvuuk		
608	港湾水鬼	octsmbzvtknp		
609	泊地水鬼	qvjxstjsucxx		
610	泊地水鬼	vjgqyiisflxo		
611	泊地水鬼	yqbbctkwbtgd		
612	泊地水鬼	iinthvbcxohn		
613	港湾棲姫	fwbonbofgcwe		
614	空母ヲ級	xwkafpsvohsx		
615	空母ヲ級	swtqydoaxery		
616	空母ヲ級改	kevftdefeysm		
617	空母ヲ級改	oclehydqqwtr		
618	空母ヲ級改	whfpobwysexc		
619	空母棲鬼	wnnfthmvobbc		
620	空母棲姫	mowniqrfpjjw		
621	駆逐イ級後期型	mhgomfxjbdqg		
622	駆逐ロ級後期型	oevqngeqykfc		
623	駆逐ハ級後期型	hzegzqgicqnv		
624	駆逐ニ級後期型	mqboqqeinwaj		
625	水母棲姫	wlmwstevvrwv		
626	水母棲姫	yjylvwiustlg		
627	水母棲姫	bxslnscoclqv		
628	防空棲姫	qyzjmmmamvqv		
629	防空棲姫	cvhmavgxsrbr		
630	防空棲姫	mxftnbimpfud		
631	飛行場姫	oequjjnzhgcw		
632	飛行場姫	jdpebtsbhupn		
633	飛行場姫	ozdxnvurmoyg		
634	離島棲鬼	oesmuxjcpwsl		
635	離島棲鬼	lxkovqjiqcue		
636	離島棲鬼	idborkfjzpjt		
637	PT小鬼群	bqucqmrihwuh		
638	PT小鬼群	dsstfcxfwiui		
639	PT小鬼群	nmxeowqlleay		
640	PT小鬼群	ldsiznnfxhsi		
641	軽巡棲姫	ovecdselmpus		
642	軽巡棲姫	disbkhsrvdyz		
643	軽巡棲姫	zpgkgrqnfbgw		
644	潜水棲姫	xqhnwnncqfsb		
645	潜水棲姫	iunhutnvrvpw		
646	潜水棲姫	ydnymnspgijb		
647	駆逐水鬼	ebsfauvzpldv		
648	駆逐水鬼	fhpklciryypc		
649	駆逐水鬼	vbihybmotyce		
650	飛行場姫	dkflqbdjybjg		
651	飛行場姫	sbyuekbnrkqx		
652	飛行場姫	zcwobzfzxiyy		
653	集積地棲姫	vjfwzgyvwpgj		
654	集積地棲姫	mtxsjkkogurq		
655	集積地棲姫	lyusgthzqfbl		
656	集積地棲姫-壊	egntjluhujmg		
657	集積地棲姫-壊	jtghojbhjqmj		
658	集積地棲姫-壊	bbidlihblgfn		
659	重巡棲姫	okiqblvpbiub		
660	重巡棲姫	yddbfuyzglgv		
661	重巡棲姫	qmotqofrwgkn		
662	重巡棲姫	egdjvusxgjbl		
663	重巡棲姫	jhvprgftpnoo		
664	重巡棲姫	tmpsstswydna		
665	砲台小鬼	dbrykiabguuf		
666	砲台小鬼	itjiuexoqiqf		
667	砲台小鬼	msytkifdiujd		
668	離島棲姫	hheigemwcgvd		
669	離島棲姫	pgisghlqpxtg		
670	離島棲姫	kdigvwjnuoqv		
671	離島棲姫	udoquyvqlmjc		
672	離島棲姫	lsepmduhwvzv		
673	駆逐古鬼	cakewlpdimrn		
674	駆逐古鬼	mfnlrstsevxp		
675	駆逐古鬼	mdrzrskmlacb		
676	駆逐水鬼	lfgrfbnoxhyc		
677	駆逐水鬼	trephayebrdi		
678	駆逐水鬼	tbsrjrcfjcrc		
679	リコリス棲姫	vorsdkkbcfev		
680	リコリス棲姫	sliuppskbcca		
681	リコリス棲姫	fsbsokcwqvwe		
682	リコリス棲姫	xyzvbankjlhc		
683	リコリス棲姫	nqeejeqyjaqp		
684	中枢棲姫	xkpnaqtugdvc		
685	中枢棲姫	cxuieixnfqdr		
686	中枢棲姫	rnocihovjlkp		
687	中枢棲姫-壊	jtyrbgdfotsq		
688	中枢棲姫-壊	aikqcifzwmbw		
689	中枢棲姫-壊	lijnvspqdxdx		
690	駆逐古姫	epbvwfwkuswz		
691	駆逐古姫	nmddwhexdwuq		
692	駆逐古姫	eokfqzxmnlrl		
693	潜水夏姫	ndzqluoczwnc		
694	潜水夏姫	pgcstungigys		
695	潜水夏姫	jsbjbbfougrj		
696	戦艦夏姫	vwolviayxpbv		
697	戦艦夏姫	tvdifblusvdr		
698	戦艦夏姫	qsvtejqqwgaq		
699	港湾夏姫	nphstqdspthz		
700	港湾夏姫	rgyzcftlftqn		
701	港湾夏姫	ahllnddeknal		
702	港湾夏姫-壊	asmapjrgrdrt		
703	港湾夏姫-壊	vosqpkwkttvv		
704	港湾夏姫-壊	quapxtvdpbie		
705	重巡夏姫	fkycdytrlsoi		
706	重巡夏姫	vypyuolwdpvk		
707	重巡夏姫	lfkukwtsuruo		
708	水母水姫	wakhgkznssbr	*404	
709	水母水姫	onwowtuekpjn	*404	
710	水母水姫	koyguaurwprc	*404	
711	深海海月姫	slqhgxidlkwx	*404	
712	深海海月姫	wpakfsjikjdg	*404	
713	深海海月姫	qdrobavpfofp	*404	
714	空母ヲ級改	gwptvxbbxkqp	*404	
715	空母ヲ級改	hjdgjoifrubd	*404	
716	深海双子棲姫	hnyleqioqwbg	*404	
717	深海双子棲姫	eyavbkujyhgg	*404	
718	深海双子棲姫	elutjwomljhb	*404	
719	深海双子棲姫-壊	zjpejeuzugmm	*404	
720	深海双子棲姫-壊	axsfthjltgqj	*404	
721	深海双子棲姫-壊	cbxpmvwybotl	*404	

### Player special illustrations ships
ID	Name	Graphic Name	Missing?	Comment
841	Xmas漣改	lsxmdfvwuvnj	*404	
842	浴衣由良	vnhbkfjruikl		
843	浴衣白露	cxmxeqsgxcix		
844	浴衣秋月	tolgcxoomscl		
845	浴衣陸奥	xpedaxvnvqgx		
846	浴衣長波	zlhmohkqussw		
847	法被吹雪	sehxytrphuxw		
848	法被吹雪改二	qnmefxopcssh		
