Update: 2016-10-05

### Cell type
0	Start position
1	(Not exists)
2	Get items
3	Lost materials (Whirling tides)
4	Normal battle
5	Boss Battle
6	No battle or Route select
7	Air-raid battle
8	Convoy escort success
9	Air reconnaissance
10	Long-distance air-raid battle

### Cell type - No battle
## Value 6 is in "api_req_map/start" and "api_req_map/next".
## In "api_start2", Value 6 will be displayed to 4.

ID	MapArea ID	Map No.	Cell No.	Cell type
286	1	5	3	4
287	1	5	4	4
288	1	5	5	4
289	1	5	6	4
290	1	5	7	4
291	1	5	8	4
292	1	5	9	5
293	1	5	10	5
294	2	5	0	0
295	2	5	1	4
296	2	5	2	4
297	2	5	3	4
298	2	5	4	4
299	2	5	5	4
300	2	5	6	4
301	2	5	7	2
302	2	5	8	4
303	2	5	9	4
304	2	5	10	4
305	2	5	11	2
306	2	5	12	5
307	2	5	13	4
308	2	5	14	4
309	2	5	15	5
310	3	5	0	0
311	3	5	1	4
312	3	5	2	4
313	3	5	3	4
314	3	5	4	4
315	3	5	5	4
316	3	5	6	4
317	3	5	7	4
318	3	5	8	4
319	3	5	9	2
320	3	5	10	4
321	3	5	11	5
322	3	5	12	4
323	3	5	13	4
324	3	5	14	4
325	3	5	15	5
326	6	1	0	0
327	6	1	1	4
328	6	1	2	4
329	6	1	3	4
330	6	1	4	4
331	6	1	5	4
332	6	1	6	4
333	6	1	7	4
334	6	1	8	4
335	6	1	9	4
336	6	1	10	4
337	6	1	11	5
338	6	1	12	4
339	6	1	13	4
340	6	2	0	0
341	6	2	1	4
342	6	2	2	4
343	6	2	3	4
344	6	2	4	3
345	6	2	5	4
346	6	2	6	4
347	6	2	7	4
348	6	2	8	4
349	6	2	9	4
350	6	2	10	4
351	6	2	11	5
352	6	2	12	4
353	6	2	13	3
354	6	2	14	4
355	6	2	15	4
356	6	2	16	4
357	6	2	17	5
358	6	2	18	5
359	1	6	0	0
360	1	6	1	4
361	1	6	2	4
362	1	6	3	4
363	1	6	4	2
364	1	6	5	4
365	1	6	6	4
366	1	6	7	2
367	1	6	8	7
368	1	6	9	4
369	1	6	10	4
370	1	6	11	7
371	1	6	12	7
372	1	6	13	4
373	1	6	14	8
374	1	6	15	4
375	1	6	16	7
376	1	6	17	8
377	4	5	0	0
378	4	5	1	4
379	4	5	2	4
380	4	5	3	4
381	4	5	4	4
382	4	5	5	4
383	4	5	6	4
384	4	5	7	4
385	4	5	8	4
386	4	5	9	4
387	4	5	10	4
388	4	5	11	4
389	4	5	12	4
390	4	5	13	5
391	4	5	14	4
392	4	5	15	4
393	4	5	16	4
394	4	5	17	4
395	4	5	18	4
396	4	5	19	5
397	6	3	0	0
398	6	3	1	4
399	6	3	2	4
400	6	3	3	4
401	6	3	4	4
402	6	3	5	4
403	6	3	6	4
404	6	3	7	9
405	6	3	8	9
406	6	3	9	4
407	6	3	10	5
408	6	3	11	4
409	6	3	12	9
410	6	3	13	4
411	6	4	0	0
412	6	4	1	4
413	6	4	2	4
414	6	4	3	4
415	6	4	4	10
416	6	4	5	4
417	6	4	6	10
418	6	4	7	10
419	6	4	8	4
420	6	4	9	10
421	6	4	10	4
422	6	4	11	4
423	6	4	12	4
424	6	4	13	4
425	6	4	14	5
426	6	4	15	10
427	6	4	16	10
428	6	4	17	10
429	6	4	18	4
430	6	4	19	10
431	6	4	20	5
432	6	4	21	5
433	6	4	22	0
434	6	5	0	4
435	6	5	1	4
436	6	5	2	4
437	6	5	3	4
438	6	5	4	4
439	6	5	5	4
440	6	5	6	4
441	6	5	7	10
442	6	5	8	10
443	6	5	9	4
444	6	5	10	4
445	6	5	11	4
446	6	5	12	4
447	6	5	13	5
448	6	5	14	4
449	6	5	15	10
450	6	5	16	10
451	6	5	17	4
452	6	5	18	5
456	6	5	19	0
