Update: 2017-11-20

### Ship Type : See shiptype.txt
### After Upgrade : Ship id after upgrade

### Max Hp, Armor, Fire power, Torpedo power, AA Power, Luck
[Default Value],[Max Value]

### Speed
0	Land base
5	Slow
10	Fast

### Range
0	None
1	Short
2	Middle
3	Long
4	Super long

### Materials on broken : [Fuel],[Ammo],[Steel],[Bauxite]
### Required fuel, Required ammo : Required material to upgrade

### Voice bits
1	Idle voice
2	O-clock voice
4	Special idle voice (Idle voice when Condition>=50)

### Player ships
ID	Sort No.	Name	Yomi	Ship Type	Upgrade Level	After Upgrade	Max Hp	Armor	Fire power	Torpedo power	AA Power	Luck	Speed	Range	Slot count	Airplanes	Build mins	Materials on broken	Powerup point	Rarity	Required fuel	Required ammo	Max fuel	Max ammo	Voice bits
56	48	那珂	なか	3	20	224	26,39	11,29	14,39	24,79	13,49	10,49	10	2	2	1,1,0,0,0	60	2,2,10,0	0,1,0,1	2	200	200	25	25	0
57	97	大井改	おおい	4	50	118	32,49	12,39	8,39	80,99	13,39	10,49	10	2	2	0,0,0,0,0	75	2,6,9,0	0,4,0,1	6	400	770	25	50	3
58	98	北上改	きたかみ	4	50	119	32,49	12,39	8,39	80,99	13,39	15,69	10	2	2	0,0,0,0,0	75	2,6,9,0	0,4,0,1	6	400	770	25	50	3
59	52	古鷹	ふるたか	5	25	262	36,49	25,34	30,54	12,59	16,59	10,49	10	2	3	2,2,2,0,0	60	2,2,10,1	2,1,0,2	3	250	300	35	50	0
60	53	加古	かこ	5	25	263	36,49	25,34	30,49	12,49	16,49	10,49	10	2	3	2,2,2,0,0	60	2,2,10,1	2,1,0,2	1	250	300	35	50	0
61	54	青葉	あおば	5	25	264	37,49	26,37	30,54	12,59	16,59	20,69	10	2	3	2,2,2,0,0	60	2,2,10,1	2,1,0,2	3	250	300	35	50	0
62	55	妙高	みょうこう	5	25	265	44,60	32,49	40,59	24,59	16,64	10,49	10	2	3	2,2,2,0,0	80	2,2,12,1	2,1,0,2	4	300	450	40	65	0
63	56	那智	なち	5	25	266	44,56	32,49	40,54	24,49	16,54	10,49	10	2	3	2,2,2,0,0	80	2,2,12,1	2,1,0,2	1	300	450	40	65	0
64	57	足柄	あしがら	5	25	267	44,56	32,49	40,54	24,49	16,54	10,49	10	2	3	2,2,2,0,0	80	2,2,12,1	2,1,0,2	2	300	450	40	65	0
65	58	羽黒	はぐろ	5	25	268	44,56	32,49	40,54	24,49	16,54	10,49	10	2	3	2,2,2,0,0	80	2,2,12,1	2,1,0,2	1	300	450	40	65	0
66	59	高雄	たかお	5	25	269	45,60	35,49	40,59	24,59	18,66	10,49	10	2	3	2,2,2,0,0	85	2,2,12,1	2,1,0,2	4	300	450	40	65	1
67	60	愛宕	あたご	5	25	270	45,60	35,49	40,54	24,59	18,56	10,49	10	2	3	2,2,2,0,0	85	2,2,12,1	2,1,0,2	4	300	450	40	65	1
68	61	摩耶	まや	5	18	271	45,57	35,49	40,54	24,49	18,56	10,49	10	2	3	2,2,2,0,0	85	2,2,12,1	2,1,0,2	1	250	300	40	65	0
69	62	鳥海	ちょうかい	5	25	272	45,57	35,49	40,54	24,49	18,56	10,49	10	2	3	2,2,2,0,0	85	2,2,12,1	2,1,0,2	1	300	450	40	65	0
70	51	最上	もがみ	5	10	73	41,59	31,59	40,59	18,69	20,59	10,49	10	2	3	2,2,2,0,0	90	2,3,12,1	2,1,0,2	4	210	70	40	65	1
71	63	利根	とね	5	25	273	44,62	36,59	32,59	24,59	20,67	10,49	10	2	3	3,3,3,0,0	90	2,2,13,2	2,1,1,2	4	300	450	45	60	0
72	64	筑摩	ちくま	5	25	274	44,62	36,59	32,59	24,59	20,67	10,49	10	2	3	3,3,3,0,0	90	2,2,13,2	2,1,1,2	4	300	450	45	60	0
73	101	最上改	もがみ	6	0	0	50,67	37,71	24,75	18,69	20,64	10,69	10	2	4	5,6,5,11,0	100	2,2,13,4	2,1,3,2	6	0	0	50	55	3
74	94	祥鳳	しょうほう	7	25	282	32,55	19,39	0,19	0,0	14,29	10,49	10	1	3	18,9,3,0,0	160	2,2,13,4	0,0,2,2	4	380	210	35	35	0
75	65	飛鷹	ひよう	7	25	283	40,64	21,39	0,19	0,0	21,59	10,49	5	1	4	12,18,18,10,0	180	6,6,20,6	0,0,3,2	4	500	250	40	40	0
76	30	龍驤	りゅうじょう	7	25	281	31,54	17,39	0,19	0,0	16,29	10,49	10	1	3	9,24,5,0,0	170	2,2,14,4	0,0,2,2	4	400	220	35	35	0
77	3	伊勢	いせ	9	10	82	74,89	70,89	74,89	0,0	28,79	15,69	5	3	4	3,3,3,3,0	270	9,18,37,3	4,0,1,4	5	500	150	85	120	0
78	21	金剛	こんごう	8	25	209	63,79	52,69	63,89	0,0	24,69	12,49	10	3	3	3,3,3,0,0	240	10,14,33,3	3,0,1,3	5	400	600	80	110	0
79	23	榛名	はるな	8	25	211	63,79	52,69	63,89	0,0	24,69	15,69	10	3	3	3,3,3,0,0	240	10,14,33,3	3,0,1,3	5	400	600	80	110	0
80	1	長門	ながと	9	30	275	80,94	75,89	82,99	0,0	31,89	20,79	5	3	4	3,3,3,3,0	300	10,20,40,3	5,0,1,4	7	800	900	100	130	0
81	2	陸奥	むつ	9	30	276	80,94	75,89	82,99	0,0	31,89	3,39	5	3	4	3,3,3,3,0	300	10,20,40,3	5,0,1,4	7	800	900	100	130	0
82	102	伊勢改	いせ	10	0	0	77,89	74,92	63,86	0,0	45,92	30,79	5	3	4	11,11,11,14,0	270	10,15,36,3	4,0,3,4	6	0	0	95	105	0
83	6	赤城	あかぎ	11	30	277	69,79	28,54	0,39	0,0	32,69	12,49	10	1	4	18,18,27,10,0	270	8,12,30,7	0,0,5,3	6	700	300	60	55	1
84	7	加賀	かが	11	30	278	71,89	29,59	0,39	0,0	28,69	10,49	10	1	4	18,18,45,12,0	260	8,14,32,9	0,0,5,3	5	750	300	60	55	1
85	24	霧島	きりしま	8	25	212	63,79	52,69	63,89	0,0	24,69	10,49	10	3	3	3,3,3,0,0	240	10,14,33,3	3,0,1,3	5	400	600	80	110	0
86	22	比叡	ひえい	8	25	210	63,79	52,69	63,89	0,0	24,69	10,49	10	3	3	3,3,3,0,0	240	10,14,33,3	3,0,1,3	5	400	600	80	110	0
87	4	日向	ひゅうが	9	10	88	74,89	70,89	74,94	0,0	28,79	15,69	5	3	4	3,3,3,3,0	270	9,18,37,3	4,0,1,4	5	500	150	85	120	0
88	103	日向改	ひゅうが	10	0	0	77,89	74,92	63,86	0,0	45,92	30,79	5	3	4	11,11,11,14,0	270	10,15,36,3	4,0,3,4	6	0	0	95	105	0
89	25	鳳翔	ほうしょう	7	25	285	30,49	15,39	0,19	0,0	10,29	20,69	5	1	2	8,11,0,0,0	120	2,1,12,2	0,0,1,2	3	350	150	25	25	0
90	8	蒼龍	そうりゅう	11	30	279	50,79	27,49	0,29	0,0	26,69	10,49	10	1	4	12,27,18,7,0	250	7,10,26,6	0,0,4,3	5	650	300	50	50	1
91	9	飛龍	ひりゅう	11	30	280	50,79	27,49	0,29	0,0	26,69	35,89	10	1	4	12,27,18,7,0	250	7,10,26,6	0,0,4,3	6	650	300	50	50	1
92	66	隼鷹	じゅんよう	7	25	284	40,64	21,39	0,19	0,0	21,59	20,79	5	1	4	12,18,18,10,0	180	6,6,20,6	0,0,3,2	4	500	250	40	40	0
93	67	朧	おぼろ	2	20	230	15,29	5,19	10,29	27,69	12,39	10,49	10	1	2	0,0,0,0,0	20	1,1,5,0	0,1,0,0	1	100	100	15	20	0
94	69	漣	さざなみ	2	20	232	15,29	5,19	10,29	27,69	12,39	10,49	10	1	2	0,0,0,0,0	20	1,1,5,0	0,1,0,0	2	100	100	15	20	0
95	85	朝潮	あさしお	2	20	248	16,33	6,19	10,29	24,79	12,39	12,49	10	1	2	0,0,0,0,0	22	1,1,5,0	1,1,0,0	3	100	100	15	20	0
96	86	大潮	おおしお	2	20	249	16,33	6,19	10,29	24,69	9,39	10,49	10	1	2	0,0,0,0,0	22	1,1,5,0	0,1,0,1	1	100	100	15	20	0
97	87	満潮	みちしお	2	20	250	16,33	6,19	10,29	24,69	9,39	10,49	10	1	2	0,0,0,0,0	22	1,1,5,0	0,1,0,1	1	100	100	15	20	0
98	88	荒潮	あらしお	2	20	251	16,33	6,19	10,29	24,69	9,39	10,49	10	1	2	0,0,0,0,0	22	1,1,5,0	0,1,0,1	1	100	100	15	20	0
99	39	球磨	くま	3	20	215	25,39	10,29	14,49	24,89	13,59	12,49	10	2	2	1,1,0,0,0	60	2,2,10,0	0,1,0,2	4	200	200	25	25	0
100	40	多摩	たま	3	20	216	25,39	10,29	14,39	24,79	13,49	10,49	10	2	2	1,1,0,0,0	60	2,2,10,0	0,1,0,1	2	200	200	25	25	0
101	41	木曾	きそ	3	20	217	25,39	10,29	14,39	24,79	13,49	10,49	10	2	2	1,1,0,0,0	60	2,2,10,0	0,1,0,1	1	200	200	25	25	0
102	49	千歳	ちとせ	16	10	104	40,59	18,39	9,29	0,0	14,29	10,49	10	1	2	12,12,0,0,0	140	3,1,13,4	0,0,1,2	2	70	40	35	35	0
103	50	千代田	ちよだ	16	10	105	40,59	18,39	9,29	0,0	14,29	10,49	10	1	2	12,12,0,0,0	140	3,1,13,4	0,0,1,2	1	70	40	35	35	0
104	95	千歳改	ちとせ	16	12	106	41,59	20,39	9,29	0,29	15,29	10,49	10	1	3	12,6,6,0,0	150	3,1,14,4	0,0,2,2	3	70	80	35	40	1
105	96	千代田改	ちよだ	16	12	107	41,59	20,39	9,29	0,29	15,29	10,49	10	1	3	12,6,6,0,0	150	3,1,14,4	0,0,2,2	3	70	80	35	40	1
106	99	千歳甲	ちとせ	16	15	108	42,59	21,39	9,29	15,72	17,39	10,59	10	1	3	12,6,6,0,0	160	3,3,15,3	0,2,1,2	3	100	60	35	45	3
107	100	千代田甲	ちよだ	16	15	109	42,59	21,39	9,29	15,72	17,39	10,59	10	1	3	12,6,6,0,0	160	3,3,15,3	0,2,1,2	3	100	60	35	45	3
108	104	千歳航	ちとせ	7	35	291	47,59	25,39	0,19	0,0	20,49	10,59	10	1	3	21,9,6,0,0	190	5,5,17,4	0,0,3,2	4	550	250	40	40	3
109	105	千代田航	ちよだ	7	35	292	47,59	25,39	0,19	0,0	20,49	10,59	10	1	3	21,9,6,0,0	190	5,5,17,4	0,0,3,2	4	550	250	40	40	3
110	106	翔鶴	しょうかく	11	30	288	62,79	33,49	0,39	0,0	29,69	10,49	10	1	4	21,21,21,12,0	360	7,10,30,10	0,0,4,3	5	750	350	55	55	3
111	107	瑞鶴	ずいかく	11	25	112	62,79	33,49	0,39	0,0	29,69	40,89	10	1	4	21,21,21,12,0	360	7,10,30,10	0,0,4,3	6	750	350	55	55	3
112	108	瑞鶴改	ずいかく	11	77	462	75,90	42,72	0,39	0,0	40,79	42,89	10	1	4	24,24,24,12,0	360	7,10,30,10	0,0,4,3	7	3700	1200	65	70	3
113	109	鬼怒	きぬ	3	17	289	26,39	10,29	14,39	24,79	13,49	12,49	10	2	2	1,1,0,0,0	75	2,2,10,0	0,1,0,1	4	200	200	25	25	3
114	110	阿武隈	あぶくま	3	17	290	27,39	10,29	14,39	24,79	13,49	12,49	10	2	2	1,1,0,0,0	75	2,2,10,0	0,1,0,1	5	200	200	25	25	3
115	111	夕張	ゆうばり	3	25	293	19,33	10,29	17,42	20,69	10,42	12,49	10	2	3	0,0,0,0,0	82	2,2,7,0	1,1,1,1	5	280	240	20	30	3
116	112	瑞鳳	ずいほう	7	25	117	32,55	19,39	0,19	0,0	14,29	30,79	10	1	3	18,9,3,0,0	160	2,2,13,4	0,0,2,2	5	380	210	35	35	3
117	113	瑞鳳改	ずいほう	7	0	0	45,69	25,59	0,29	0,0	18,39	40,89	10	1	4	18,12,12,6,0	160	4,6,20,6	0,0,3,2	6	0	0	40	40	3
118	114	大井改二	おおい	4	0	0	43,59	23,63	17,63	90,139	15,49	13,49	10	2	3	0,0,0,0,0	75	2,9,9,0	1,5,0,1	7	0	0	25	75	3
119	115	北上改二	きたかみ	4	0	0	43,59	23,63	17,63	90,139	15,49	30,79	10	2	3	0,0,0,0,0	75	2,6,9,0	1,5,0,1	7	0	0	25	75	3
120	116	三隈	みくま	5	30	121	40,59	30,59	40,59	18,69	18,59	5,49	10	2	3	2,2,2,0,0	90	2,3,12,1	2,1,0,2	5	270	110	40	65	3
121	117	三隈改	みくま	6	0	0	50,67	37,71	24,76	18,69	20,59	10,69	10	2	4	5,6,5,8,0	100	2,2,13,4	2,1,3,2	6	0	0	50	55	3
122	119	舞風	まいかぜ	2	20	294	16,34	6,19	10,29	24,69	9,39	10,49	10	1	2	0,0,0,0,0	24	1,1,6,0	0,1,0,1	4	100	100	15	20	3
123	120	衣笠	きぬがさ	5	25	295	37,49	26,37	30,54	12,59	16,59	20,69	10	2	3	2,2,2,0,0	60	2,2,10,1	2,1,0,2	4	250	300	35	50	3
124	124	鈴谷	すずや	5	35	129	40,59	30,59	40,59	18,69	18,59	5,49	10	2	3	2,2,2,0,0	90	2,3,12,1	2,1,0,2	4	270	110	40	65	3
125	125	熊野	くまの	5	35	130	40,59	30,59	40,59	18,69	18,59	5,49	10	2	3	2,2,2,0,0	90	2,3,12,1	2,1,0,2	4	270	110	40	65	3
126	126	伊168	い168	13	50	398	10,17	3,17	2,7	24,59	0,0	10,49	5	1	1	0,0,0,0,0	22	1,2,2,1	0,2,0,0	3	130	200	10	20	3
127	127	伊58	い58	13	50	399	14,19	4,19	2,9	30,69	0,0	40,79	5	1	1	0,0,0,0,0	22	1,2,2,1	0,2,0,0	4	140	200	10	20	3
128	128	伊8	い8	13	50	400	15,19	4,19	2,9	30,69	0,0	20,59	5	1	1	0,0,0,0,0	22	1,2,2,1	0,2,0,0	5	150	200	10	20	3
129	129	鈴谷改	すずや	6	84	503	50,67	37,72	24,75	18,69	20,59	10,69	10	2	4	5,6,5,6,0	100	2,2,13,4	2,1,3,2	5	2000	1200	50	55	3
130	130	熊野改	くまの	6	84	504	50,67	37,72	24,75	18,69	20,59	10,69	10	2	4	5,6,5,6,0	100	2,2,13,4	2,1,3,2	5	2000	1200	50	55	3
131	131	大和	やまと	9	60	136	93,98	88,108	96,129	0,0	50,94	12,79	5	4	4	7,7,7,7,0	480	35,50,100,10	7,0,2,5	8	3000	2500	250	300	3
132	132	秋雲	あきぐも	2	30	301	16,34	6,19	10,29	24,69	9,39	14,49	10	1	2	0,0,0,0,0	24	1,1,6,0	0,1,0,1	4	110	120	15	20	3
133	133	夕雲	ゆうぐも	2	30	302	16,34	6,19	10,30	24,69	9,39	12,49	10	1	2	0,0,0,0,0	24	1,1,6,0	0,1,0,1	4	110	130	15	20	3
134	134	巻雲	まきぐも	2	30	303	16,34	6,19	10,30	24,69	9,39	11,49	10	1	2	0,0,0,0,0	24	1,1,6,0	0,1,0,1	4	110	120	15	20	3
135	135	長波	ながなみ	2	30	304	16,34	6,19	10,30	24,69	9,39	13,49	10	1	2	0,0,0,0,0	24	1,1,6,0	0,1,0,1	4	110	130	15	20	3
136	136	大和改	やまと	9	0	0	96,108	92,118	92,139	0,0	68,104	13,79	5	4	4	7,7,7,7,0	480	35,50,110,20	6,0,3,6	8	0	0	250	325	3
137	137	阿賀野	あがの	3	35	305	30,45	17,32	20,42	24,72	17,60	10,49	10	2	3	2,2,2,0,0	60	3,4,13,1	1,1,1,2	5	300	220	30	35	3
138	138	能代	のしろ	3	35	306	30,45	17,32	20,42	24,72	17,60	10,49	10	2	3	2,2,2,0,0	60	3,4,13,1	1,1,1,2	5	300	220	30	35	3
139	139	矢矧	やはぎ	3	35	307	31,45	17,33	20,42	24,72	17,63	13,59	10	2	3	2,2,2,0,0	60	3,4,13,1	1,1,1,2	6	300	220	30	35	3
140	140	酒匂	さかわ	3	35	314	31,45	17,32	19,41	23,71	17,62	20,49	10	2	3	2,2,2,0,0	60	3,4,13,1	1,1,1,2	5	300	220	30	35	3
141	141	五十鈴改二	いすず	3	0	0	44,59	30,69	18,59	24,79	45,84	13,67	10	1	3	0,0,0,0,0	60	2,2,10,0	1,2,4,2	5	0	0	25	30	1
142	142	衣笠改二	きぬがさ	5	0	0	53,65	35,73	38,78	24,74	22,66	13,65	10	2	4	2,2,2,2,0	60	3,7,16,1	2,1,1,2	6	0	0	35	65	3
143	143	武蔵	むさし	9	40	148	94,98	88,108	96,129	0,0	50,94	10,79	5	4	4	7,7,7,7,0	480	35,50,100,10	7,0,2,5	7	3000	2500	250	300	3
144	144	夕立改二	ゆうだち	2	0	0	31,58	14,52	17,73	37,93	16,59	20,59	10	1	3	0,0,0,0,0	22	1,2,10,0	2,2,1,1	6	0	0	15	20	1
145	145	時雨改二	しぐれ	2	0	0	31,49	14,52	13,59	28,84	24,72	50,88	10	1	3	0,0,0,0,0	22	1,2,10,0	2,2,1,1	6	0	0	15	20	3
146	146	木曾改二	きそ	4	0	0	44,59	24,65	18,64	80,110	24,72	13,69	10	2	3	0,0,0,0,0	75	2,6,9,0	1,5,0,1	6	0	0	25	50	1
147	147	Верный	ひびき	2	0	0	37,49	15,57	13,54	30,89	18,59	20,77	10	1	3	0,0,0,0,0	20	1,3,11,0	1,2,1,1	6	0	0	15	25	3
148	148	武蔵改	むさし	9	0	0	97,108	92,119	92,139	0,0	60,99	9,79	5	4	4	7,7,7,7,0	480	35,50,110,20	6,0,3,6	7	0	0	250	325	7
149	149	金剛改二	こんごう	8	0	0	82,99	70,94	76,98	0,0	30,84	15,79	10	3	4	3,3,3,3,0	240	10,14,33,3	4,0,2,4	7	0	0	100	125	3
150	150	比叡改二	ひえい	8	0	0	83,99	72,95	76,98	0,0	30,82	13,79	10	3	4	3,3,3,3,0	240	10,14,33,3	4,0,2,4	7	0	0	100	125	3
151	151	榛名改二	はるな	8	0	0	81,99	70,93	75,96	0,0	41,92	41,89	10	3	4	3,3,3,3,0	240	10,14,33,3	4,0,2,4	7	0	0	100	125	3
